"성별","연령계층별",2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02
"계","계",3.1,3.0,3.1,3.4,4.1,4.1
"계","15 - 19세",5.9,4.9,4.6,6.9,10.6,8.9
"계","20 - 29세",7.4,7.3,7.1,7.3,7.5,9.0
"계","30 - 39세",2.8,3.0,2.9,2.7,2.9,3.3
"계","40 - 49세",2.2,1.9,2.1,1.9,2.0,2.4
"계","50 - 59세",2.3,2.2,2.2,2.2,2.8,2.9
"계","60세이상",2.3,2.2,2.1,4.2,7.1,4.8
"계","15 - 64세",3.3,3.2,3.2,3.2,3.5,4.0
"계","15 - 24세",8.2,8.0,8.2,9.2,9.5,11.3
"계","15 - 29세",7.3,7.2,7.0,7.3,7.7,9.0
"남자","계",3.4,3.2,3.3,3.3,3.9,4.0
"남자","15 - 19세",5.5,6.1,5.9,7.6,11.3,12.0
"남자","20 - 29세",8.1,7.5,7.7,8.1,8.2,9.5
"남자","30 - 39세",3.1,3.3,3.1,2.4,2.4,3.1
"남자","40 - 49세",2.1,1.9,2.3,2.0,2.0,2.3
"남자","50 - 59세",2.6,2.4,2.5,2.2,2.9,3.1
"남자","60세이상",3.1,3.0,2.9,4.3,6.5,4.7
"남자","15 - 64세",3.5,3.4,3.4,3.3,3.5,3.9
"남자","15 - 24세",8.2,7.7,8.9,9.6,10.0,11.6
"남자","15 - 29세",8.0,7.4,7.7,8.0,8.4,9.6
"여자","계",2.8,2.8,2.7,3.4,4.4,4.2
"여자","15 - 19세",6.2,3.8,3.6,6.3,10.0,6.5
"여자","20 - 29세",6.7,7.1,6.5,6.5,6.8,8.5
"여자","30 - 39세",2.4,2.6,2.7,3.2,3.6,3.6
"여자","40 - 49세",2.3,1.9,1.9,1.8,2.0,2.5
"여자","50 - 59세",1.9,1.9,1.9,2.1,2.7,2.7
"여자","60세이상",1.2,1.2,1.2,4.1,7.9,4.8
"여자","15 - 64세",3.0,3.0,2.9,3.1,3.5,4.0
"여자","15 - 24세",8.2,8.2,7.7,8.9,9.0,11.0
"여자","15 - 29세",6.7,6.9,6.3,6.5,7.0,8.4
